Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.12268,0.22937,0.32047,0,0,0,3.7475,0.027294,7.0321E-19,-2.5475E-17,0.054032,5.0062E-19,0.027294,0,0,0,0,0,0,package://base/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://base/meshes/base_link.STL,,Base-1;Locomotory_Bracket-2;Locomotory_Bracket-3;Locomotory_Bracket-1;motor-2;motor-1;motor-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_1,-0.00012743,0.00078371,-0.044853,0,0,0,0.39461,8.8936E-05,-2.3251E-07,-1.87E-07,8.9422E-05,4.4765E-07,0.00015312,0,0,0,0,0,0,package://base/meshes/wheel_1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://base/meshes/wheel_1.STL,,Omni Wheel Final assembly-2,Origin_revolute_1,Axis_revolute_1,revolute_1,revolute,0.31599,-0.34198,0.19925,-1.5708,-1.2174,1.46,base_link,0,0,0,0,0,0,0,,,,,,,,
wheel_2,-0.00012743,0.00078371,0.097614,0,0,0,0.39461,8.8936E-05,-2.325E-07,-1.8699E-07,8.9422E-05,4.4766E-07,0.00015312,0,0,0,0,0,0,package://base/meshes/wheel_2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://base/meshes/wheel_2.STL,,Omni Wheel Final assembly-3,Origin_revolute_2,Axis_revolute_2,revolute_2,revolute,-0.012499,-0.011797,0.19925,1.5708,1.01,0.41277,base_link,0,0,0,0,0,0,0,,,,,,,,
wheel_3,-0.00012743,0.00078371,-0.0045049,0,0,0,0.39461,8.8936E-05,-2.3252E-07,-1.87E-07,8.9422E-05,4.4767E-07,0.00015312,0,0,0,0,0,0,package://base/meshes/wheel_3.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://base/meshes/wheel_3.STL,,Omni Wheel Final assembly-1,Origin_revolute_3,Axis_revolute_3,revolute_3,revolute,-0.016526,-0.50962,0.19925,-1.5708,0.48737,-0.63443,base_link,0,0,1,0,0,0,0,,,,,,,,
